CHEMICAL VVL,CHEMICAL NAME,NATURALLY OCCURRING,UNITS,COMPARISON CONCENTRATION (VALUE),COMPARISON CONCENTRATION TYPE,DDW (WQM),DDW (SDWIS),DPR,DWR,WB CLEANUP (EDF),GAMA DOM (EL_DORADO),GAMA SP-STUDY (LLNL),GAMA DOM (TEHAMA),GAMA USGS,GAMA DOM (YUBA),WRD,USGS (NWIS)
AR,Argon,X,cm3STP/g,0,No Comparison Conc.,,,,,AR -- AR,,,,,,,"Argon error, water, unfiltered, cubic centimeters per gram at standard temperature and pressure -- Argon, water, dissolved, cubic centimeters per gram at standard temperature and pressure -- Argon, water, dissolved, milligrams per liter -- Argon, water, dissolved, mole percent of dissolved gases"
AS,Arsenic,X,UG/L,10,MCL,1002,1005,,Dissolved Arsenic -- Total Arsenic,AS,ARSENIC,,AS,"Arsenic, wf","Arsenic, Hydride",1002,"Arsenic, bed sediment, total digestion, dry weight, milligrams per kilogram -- Arsenic, suspended sediment, total, micrograms per liter -- Arsenic, water, filtered, micrograms per liter -- Arsenic, water, unfiltered, micrograms per liter"
ASBESTOS,Asbestos,X,UG/L,7,MCL,81855,1094,,,ASBESTOS,ASBESTOS,,,,,81855,
ATRAZINE,Atrazine,,UG/L,1,MCL,39033,2050,45,Atrazine,ATRAZINE,,,,"Atrazine, wf",,39033,"Atrazine, water, filtered, recoverable, micrograms per liter -- Atrazine, water, filtered, recoverable, nanograms per liter -- Atrazine, water, unfiltered, recoverable, micrograms per liter"
AZIPE,Azinphos Ethyl,,UG/L,10,HBSL,81292,C200,,,AZIPE,,,,,,81292,
BA,Barium,X,MG/L,1,MCL,1007,1010,,Dissolved Barium,BA,BARIUM,,BA,"Barium, wf","Barium, FAA",1007,"Barium, bed sediment, recoverable, dry weight, milligrams per kilogram -- Barium, water, filtered, micrograms per liter -- Barium, water, unfiltered, recoverable, micrograms per liter"
BENSULM,Bensulfuron Methyl,,UG/L,1000,HBSL,,,,,BENSULM,,,,"Bensulfuron-methyl, wf",,,
BTZ,Bentazon,,UG/L,18,MCL,38710,2625,1944,,BTZ,,,ACRAMD,,,38710,"Bentazon, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter"
BZ,Benzene,,UG/L,1,MCL,34030,2990,,Benzene,BZ,BENZENE,,BZ,"Benzene, wu",BENZENE,34030,"Benzene, water, unfiltered, recoverable, micrograms per liter"
BZAP,Benzo(a)pyrene,,UG/L,0.2,MCL,34247,2306,,,BZAP,,,,,,34247,"Benzo[a]pyrene, bed sediment, recoverable, dry weight, micrograms per kilogram -- Benzo[a]pyrene, water, filtered, recoverable, micrograms per liter -- Benzo[a]pyrene, water, unfiltered, recoverable, micrograms per liter"
BE,Beryllium,X,UG/L,4,MCL,1012,1075,,Dissolved Beryllium,BE,BERYLLIUM,,BE,"Beryllium, wf","Beryllium, GFAA",1012,"Beryllium, bed sediment, recoverable, dry weight, milligrams per kilogram -- Beryllium, water, filtered, micrograms per liter -- Beryllium, water, unfiltered, recoverable, micrograms per liter"
BHCBETA,Beta-Benzene Hexachloride (Beta- BHC),,UG/L,0.25,CA-Prop65,39338,2350,,BHC-beta,BHCBETA,,,,,,39338,
ALKB,Bicarbonate Alkalinity,X,MG/L,0,No Comparison Conc.,440,1928,,,ALKB,BICARBONATE ALKALINITY,,ALKB,,"Alkalinity, Bicarbonate",440,
TALSTAR,Bifenthrin,,UG/L,70,HHBP,,,,,TALSTAR,,,,,,,"Bifenthrin, water, filtered, recoverable, micrograms per liter -- Bifenthrin, water, filtered, recoverable, nanograms per liter"
