"GEOID","CRF1","CRF2","CRF3","CL1","CL2","highsec","medsec","datasec","areasec","usgsdw_sum","oswcrdw_sum","CRF4","oswcr_per","usgs_per","wq_score","wq_per","datacov"
"060372430003",1,1,1.2,"AL","PCE",1,0,1,1,7.49,0,100,0,56,162,54,100
"060372430004",1,1,1.2,"AL","PCE",1,0,1,1,5.97,0,100,0,52,162,54,100
"060372431001",1,1,1.2,"AL","PCE",1,0,2,2,2.96,0,50,0,41,81,31,100
"060372643022",3,1,4.31,"TCE; PCE; TCPR123","TCE",2,0,4,4,1.98,0,50,0,35,196.54,61,100
"060372673001",3,2,3.69,"TCE; PCE; TCPR123","TCE; CTCL",2,0,3,4,0.05,0,50,0,6,218.47,64,75
"060372673002",3,2,3.69,"TCE; PCE; TCPR123","TCE; CTCL",2,0,3,3,0.34,0,66.67,0,16,291.29,73,100
"060372674021",3,1,4.31,"TCE; PCE; TCPR123","TCE",2,0,3,3,1.7,0,66.67,0,33,262.05,69,100
"060372674022",3,1,4.31,"TCE; PCE; TCPR123","TCE",2,0,2,2,1.59,0,100,0,32,393.08,82,100
"060372674031",3,1,3.4,"TCE; PCE; TCPR123","TCE",1,0,2,2,0.87,0,50,0,24,192.02,60,100
"060372674041",3,1,3.4,"TCE; PCE; TCPR123","TCE",1,0,2,2,1.87,0,50,0,34,192.02,61,100
"060372675011",3,1,3.4,"TCE; PCE; TCPR123","TCE",1,0,1,1,0.27,0,100,0,14,384.05,81,100
"060372675012",3,1,3.4,"TCE; PCE; TCPR123","TCE",1,0,1,1,0.2,0,100,0,12,384.05,82,100
"060372675013",3,1,3.4,"TCE; PCE; TCPR123","TCE",1,0,1,1,0.64,0,100,0,21,384.05,82,100
"060372675021",3,1,4.31,"TCE; PCE; TCPR123","TCE",2,0,2,2,1.51,0,100,0,31,393.08,82,100
"060372675022",3,1,3.4,"TCE; PCE; TCPR123","TCE",1,0,1,1,0.55,0,100,0,19,384.05,82,100
"060372676001",3,2,3.69,"TCE; PCE; TCPR123","TCE; CTCL",2,0,2,2,0.08,0,100,0,7,436.94,85,100
"060372677001",3,2,3.69,"TCE; PCE; TCPR123","TCE; CTCL",2,0,2,2,0.08,0,100,0,7,436.94,85,100
"060372677002",3,2,3.69,"TCE; PCE; TCPR123","TCE; CTCL",2,0,2,2,0.02,0,100,0,3,436.94,85,100
"060372721002",3,2,3.98,"TCE; PCE; TCPR123","TCE; CTCL",1,0,1,2,0.17,0,50,0,11,219.91,65,50
"060373011003",3,2,3.06,"TCE; PCE; CTCL","CR; NO3N",1,1,2,2,0.82,0,75,0,23,322.95,77,100
"060373011004",0,1,0,"","NO3N",0,1,1,1,1.69,0,50,0,32,25,12,100
"060373011005",3,2,3.06,"TCE; PCE; CTCL","CR; NO3N",1,1,2,2,1.11,0,75,0,27,322.95,77,100
