MTRS,DomWellCou,Count of chemical constituents above MCL,Count of chemical constituents within 80% of MCL,Average MCL Index (for results above MCL),List of chemical constituents above MCL,List of chemical constituents within 80% of MCL,Section Risk Category
H01N06E04,0,,,,,,
H01N06E05,1,,,,,,
H01N06E06,0,0,0,0,,,low
H01N06E07,0,0,0,0,,,low
H01N06E08,2,,,,,,
H01N06E09,3,,,,,,
H01N06E10,0,,,,,,
H01N06E11,0,,,,,,
H01N06E12,0,,,,,,
H01N06E13,0,,,,,,
H01N06E14,1,,,,,,
H01N06E15,1,,,,,,
H01N06E16,4,0,0,0,,,low
H01N06E17,4,0,0,0,,,low
H01N06E18,1,0,0,0,,,low
H01N06E19,0,0,0,0,,,low
H01N06E20,4,0,0,0,,,low
H01N06E21,12,0,0,0,,,low
H01N06E22,2,,,,,,
H01N06E23,0,,,,,,
H01N06E24,0,,,,,,
H01N06E25,0,,,,,,
H01N06E26,2,,,,,,
H01N06E27,5,,,,,,
H01N06E28,4,0,0,0,,,low
H01N06E29,2,0,0,0,,,low
H01N06E30,0,0,0,0,,,low
H01N06E31,0,,,,,,
H01N06E32,2,,,,,,
H01N06E33,0,,,,,,
H01N06E34,1,,,,,,
H01N06E35,7,,,,,,
H01N06E36,8,,,,,,
H01N07E01,0,,,,,,
H01N07E02,0,,,,,,
H01N07E03,1,,,,,,
H01N07E04,0,,,,,,
H01N07E05,0,,,,,,
H01N07E06,0,,,,,,
H01N07E07,0,,,,,,
H01N07E08,0,,,,,,
H01N07E09,0,,,,,,
H01N07E10,1,,,,,,
H01N07E11,0,,,,,,
H01N07E12,0,,,,,,
H01N07E13,0,,,,,,
H01N07E14,0,,,,,,
H01N07E15,0,,,,,,
H01N07E16,0,,,,,,
H01N07E17,0,,,,,,
H01N07E18,0,,,,,,
H01N07E19,0,,,,,,
H01N07E20,0,,,,,,
H01N07E21,0,,,,,,
H01N07E22,0,,,,,,
H01N07E23,0,,,,,,
H01N07E24,0,,,,,,
H01N07E25,0,,,,,,
H01N07E26,0,,,,,,
H01N07E27,0,,,,,,
H01N07E28,0,,,,,,
H01N07E29,0,,,,,,
H01N07E30,0,,,,,,
H01N07E31,0,,,,,,
H01N07E32,0,,,,,,
H01N07E33,0,,,,,,
H01N07E34,0,,,,,,
H01N07E35,0,,,,,,
H01N07E36,0,,,,,,
H01N08E03,0,,,,,,
H01N08E04,3,,,,,,
H01N08E05,0,,,,,,
H01N08E06,1,,,,,,
H01N08E07,0,,,,,,
H01N08E08,0,,,,,,
H01N08E09,0,,,,,,
H01N08E10,0,,,,,,
H01N08E15,0,,,,,,
H01N08E16,0,,,,,,
H01N08E17,0,,,,,,
H01N08E18,0,,,,,,
H01N08E19,0,,,,,,
H01N08E20,0,,,,,,
H01N08E21,0,,,,,,
H01N08E22,0,,,,,,
H01N08E27,0,,,,,,
H01N08E28,0,,,,,,
H01N08E29,0,,,,,,
H01N08E30,0,,,,,,
H01N08E31,0,,,,,,
H01N08E32,0,,,,,,
H01N08E33,0,,,,,,
H01N08E34,0,,,,,,
H01S01E01,0,,,,,,
H01S01E02,0,,,,,,
H01S01E03,0,,,,,,
H01S01E04,0,,,,,,
H01S01E05,0,,,,,,
H01S01E06,0,,,,,,
H01S01E07,0,,,,,,
H01S01E08,0,,,,,,
H01S01E09,0,,,,,,
H01S01E10,0,,,,,,
H01S01E11,0,,,,,,
H01S01E12,0,,,,,,
H01S01E13,0,,,,,,
H01S01E14,0,,,,,,
H01S01E15,0,,,,,,
H01S01E16,0,,,,,,
H01S01E17,0,,,,,,
H01S01E18,0,,,,,,
H01S01E19,0,,,,,,
H01S01E20,0,,,,,,
H01S01E21,0,,,,,,
H01S01E22,0,,,,,,
H01S01E23,0,,,,,,
H01S01E24,0,,,,,,
H01S01E25,0,,,,,,
H01S01E26,0,,,,,,
H01S01E27,0,,,,,,
H01S01E28,0,,,,,,
H01S01E29,0,,,,,,
H01S01E30,0,,,,,,
H01S01E31,0,,,,,,
H01S01E32,0,,,,,,
H01S01E33,0,,,,,,
H01S01E34,0,,,,,,
H01S01E35,0,,,,,,
H01S01E36,0,,,,,,
H01S01W01,1,,,,,,
H01S01W02,0,,,,,,
H01S01W03,0,,,,,,
H01S01W04,0,,,,,,
H01S01W05,0,,,,,,
H01S01W06,0,,,,,,
H01S01W07,0,,,,,,
H01S01W08,0,,,,,,
H01S01W09,0,,,,,,
H01S01W10,0,,,,,,
H01S01W11,0,,,,,,
H01S01W12,0,,,,,,
H01S01W13,0,,,,,,
H01S01W14,0,,,,,,
H01S01W15,0,,,,,,
H01S01W16,0,,,,,,
H01S01W17,0,,,,,,
H01S01W18,0,,,,,,
H01S01W19,0,,,,,,
H01S01W20,0,,,,,,
H01S01W21,0,,,,,,
H01S01W22,0,,,,,,
H01S01W23,0,,,,,,
H01S01W24,0,,,,,,
H01S01W25,0,,,,,,
H01S01W26,0,,,,,,
H01S01W27,0,,,,,,
H01S01W28,0,,,,,,
H01S01W29,0,,,,,,
H01S01W30,0,,,,,,
H01S01W31,0,,,,,,
H01S01W32,0,,,,,,
H01S01W33,0,,,,,,
H01S01W34,0,,,,,,
H01S01W35,0,,,,,,
H01S01W36,0,,,,,,
H01S02E01,0,,,,,,
H01S02E02,2,,,,,,
H01S02E03,3,,,,,,
H01S02E04,0,,,,,,
H01S02E05,0,,,,,,
H01S02E06,0,,,,,,
H01S02E07,0,,,,,,
H01S02E08,0,,,,,,
H01S02E09,5,,,,,,
H01S02E10,1,,,,,,
H01S02E11,0,,,,,,
H01S02E12,0,,,,,,
H01S02E13,0,,,,,,
H01S02E14,0,,,,,,
H01S02E15,0,,,,,,
H01S02E16,0,,,,,,
H01S02E17,0,,,,,,
H01S02E18,0,,,,,,
H01S02E19,0,,,,,,
H01S02E20,0,,,,,,
H01S02E21,0,,,,,,
H01S02E22,0,,,,,,
H01S02E23,0,,,,,,
H01S02E24,0,,,,,,
H01S02E25,0,,,,,,
H01S02E26,1,,,,,,
H01S02E27,0,,,,,,
H01S02E28,0,,,,,,
H01S02E29,0,,,,,,
H01S02E30,0,,,,,,
H01S02E31,0,,,,,,
H01S02E32,0,,,,,,
H01S02E33,0,,,,,,
H01S02E34,0,,,,,,
H01S02E35,1,,,,,,
H01S02E36,0,,,,,,
H01S02W01,0,,,,,,
H01S02W02,0,,,,,,
H01S02W03,0,,,,,,
H01S02W04,0,,,,,,
H01S02W05,0,,,,,,
H01S02W06,0,,,,,,
H01S02W07,0,,,,,,
H01S02W08,0,,,,,,
