"GEOID","wq_risk","comb_risk","wq_score","ex_risk","Pop18","adj_dw","statesmallcount","dwss_cou","dwss_den","DAC_status"
"060371944021",0,0,0,0,1202,0,0,0,0,"None"
"060371944022",0,0,0,0,1329,0,0,0,0,"None"
"060371944023",0,0,0,0,1163,0,0,0,0,"None"
"060371945001",0,0,0,0,1044,0,0,0,0,"None"
"060371945002",0,0,0,0,925,0,0,0,0,"None"
"060372041102",0,0,0,0,1057,0,0,0,0,"SDAC"
"060372041103",0,0,0,0,748,0,0,0,0,"None"
"060372043002",0,0,0,0,1742,0,0,0,0,"SDAC"
"060372063001",0,0,0,0,1567,0,0,0,0,"SDAC"
"060372063002",0,0,0,0,2332,0,0,0,0,"SDAC"
"060372063003",0,0,0,0,1803,0,0,0,0,"SDAC"
"060372073011",0,0,0,0,873,0,0,0,0,"SDAC"
"060372079001",0,0,0,0,2071,0,0,0,0,"None"
"060372146001",0,0,0,0,789,0,0,0,0,"None"
"060372146002",0,0,0,0,774,0,0,0,0,"None"
"060372146003",0,0,0,0,957,0,0,0,0,"None"
"060372147001",0,0,0,0,1083,0,0,0,0,"None"
"060372147002",0,0,0,0,646,0,0,0,0,"None"
"060372147003",0,0,0,0,812,0,0,0,0,"None"
"060372148001",0,0,0,0,1176,0,0,0,0,"None"
"060372148002",0,0,0,0,988,0,0,0,0,"None"
"060372148003",0,0,0,0,802,0,0,0,0,"None"
"060372149011",0,0,0,0,2302,0,0,0,0,"None"
"060372149012",0,0,0,0,1116,0,0,0,0,"None"
"060372149021",0,0,0,0,1291,0,0,0,0,"None"
"060372149022",0,0,0,0,1481,0,0,0,0,"None"
"060372163003",0,0,0,0,978,0,0,0,0,"None"
"060372169004",0,0,0,0,1526,0,0,0,0,"None"
"060372169005",0,0,0,0,752,0,0,0,0,"Data Not Available"
"060372170011",0,0,0,0,1655,0,0,0,0,"None"
"060372170013",0,0,0,0,537,0,0,0,0,"None"
"060372171002",0,0,0,0,1987,0,0,0,0,"None"
"060372171003",0,0,0,0,458,0,0,0,0,"None"
