"WELL_ID","PRF1","PRF2","PRF3","PL1","PL2","risk","LATITUDE","LONGITUDE","SOURCE"
"SLO1020",1,0,1.6,"AS","","high",35.140851,-120.59418,"LOCALGW"
"SLO1021",2,0,1.74,"AS; CD","","high",35.161645,-120.560997,"LOCALGW"
"SLO1022",1,0,1.04,"NO3N","","high",35.06308,-120.53782,"LOCALGW"
"SLO1023",0,0,NA,"","","low",35.152098,-120.535516,"LOCALGW"
"SLO1024",0,0,NA,"","","low",35.134596,-120.437527,"LOCALGW"
"SLO1025",0,0,NA,"","","low",35.130399709,-120.523707568,"LOCALGW"
"SLO1026",2,0,3.575,"AS; F","","high",35.155226,-120.566584,"LOCALGW"
"SLO1027",2,0,3.5,"AS; F","","high",35.151192,-120.590304,"LOCALGW"
"SLO1028",0,0,NA,"","","low",35.379346,-120.561486,"LOCALGW"
"SLO1029",0,0,NA,"","","low",35.396196,-120.517794,"LOCALGW"
"SLO1030",0,0,NA,"","","low",35.411704748,-120.498522967,"LOCALGW"
"SLO1032",0,1,NA,"","F","med",35.299286,-120.011277,"LOCALGW"
"SLO1033",0,1,NA,"","NO3N","med",35.278803,-119.970977,"LOCALGW"
"SLO1034",0,0,NA,"","","low",35.293748,-120.009006,"LOCALGW"
"SLO1035",0,0,NA,"","","low",35.369629,-120.400914,"LOCALGW"
"SLO1036",0,0,NA,"","","low",35.379054,-120.455675,"LOCALGW"
"SLO1037",1,0,4.2,"F","","high",35.348213,-120.47914,"LOCALGW"
"SLO1038",0,0,NA,"","","low",35.408868,-120.525893,"LOCALGW"
"SLO1039",0,0,NA,"","","low",35.635023,-120.537236,"LOCALGW"
"SLO1040",0,0,NA,"","","low",35.691075,-120.598235,"LOCALGW"
"SLO1041",0,0,NA,"","","low",35.681233,-120.604159,"LOCALGW"
"SLO1042",0,0,NA,"","","low",35.662556,-120.611236,"LOCALGW"
"SLO1043",0,0,NA,"","","low",35.661147,-120.606864,"LOCALGW"
"SLO1044",0,0,NA,"","","low",35.671431,-120.613791,"LOCALGW"
"SLO1045",1,0,1.4,"AS","","high",35.64984,-120.546678,"LOCALGW"
"SLO1046",0,0,NA,"","","low",35.623882,-120.549336,"LOCALGW"
"SLO1048",0,0,NA,"","","low",35.57472,-120.560569,"LOCALGW"
"SLO1049",0,0,NA,"","","low",35.557152,-120.490003,"LOCALGW"
"SLO1050",0,0,NA,"","","low",35.500027,-120.52185,"LOCALGW"
"SLO1051",0,1,NA,"","NO3N","med",35.540265,-120.507823,"LOCALGW"
"SLO1052",0,1,NA,"","PCATE","med",35.54084,-120.623708,"LOCALGW"
"SLO1053",0,0,NA,"","","low",35.635682,-120.66598,"LOCALGW"
"SLO1054",1,0,2.6,"AS","","high",35.650309,-120.704803,"LOCALGW"
"SLO1055",0,1,NA,"","F","med",35.658851,-120.703056,"LOCALGW"
"SLO1056",0,0,NA,"","","low",35.642917,-120.729429,"LOCALGW"
"SLO1057",0,0,NA,"","","low",35.68931,-120.60885,"LOCALGW"
"SLO1058",0,0,NA,"","","low",35.65538,-120.576285,"LOCALGW"
"SLO1059",0,0,NA,"","","low",35.636088,-120.547776,"LOCALGW"
"SLO1060",0,0,NA,"","","low",35.624229,-120.548055,"LOCALGW"
"SLO1061",0,0,NA,"","","low",35.673482,-120.598302,"LOCALGW"
"SLO1062",1,0,1.1,"AS","","high",35.58483,-120.574975,"LOCALGW"
"SLO1063",0,1,NA,"","PCATE","med",35.587515,-120.578402,"LOCALGW"
"SLO1064",0,0,NA,"","","low",35.639425,-120.713782,"LOCALGW"
"SLO1065",1,0,1.8,"AS","","high",35.585441,-120.576799,"LOCALGW"
"SLO1066",0,0,NA,"","","low",35.631491,-120.665191,"LOCALGW"
"SLO1067",0,0,NA,"","","low",35.605838,-120.631363,"LOCALGW"
"SLO1068",0,0,NA,"","","low",35.597562,-120.667531,"LOCALGW"
