GEOID,CRF1,CRF2,CRF3,CL1,CL2,highsec,medsec,datasec,areasec,CRF4,wq_score,wq_per,datacov
60374608002,6,7,1.56,PCATE; TCE; TCPR123; NO3N; CTCL; PCE,PCATE; TCE; NO3N; TCPR123; CTCL; ALPHA; PCE,7,0,7,8,87.5,844.94,96,87.5
60374609001,6,5,1.57,TCPR123; PCATE; CTCL; NO3N; TCE; PCE,PCATE; NO3N; ALPHA; TCE; PCE,4,0,4,4,100,865.67,97,100
60374609002,5,5,1.39,TCPR123; PCATE; NO3N; TCE; PCE,PCATE; NO3N; ALPHA; TCE; PCE,2,0,2,2,100,763.86,95,100
60374609003,4,4,1.3,TCPR123; PCATE; NO3N; PCE,PCATE; NO3N; ALPHA; PCE,2,0,2,2,100,612.97,92,100
60374609004,6,6,1.76,PCATE; TCPR123; CTCL; NO3N; TCE; PCE,PCATE; CTCL; NO3N; ALPHA; TCE; PCE,4,0,4,4,100,917.63,98,100
60374609005,3,3,1.36,TCPR123; PCATE; PCE,PCATE; NO3N; PCE,1,0,1,1,100,463.62,86,100
60374610001,5,5,1.81,PCATE; CTCL; TCPR123; NO3N; PCE,PCATE; NO3N; ALPHA; PCE; TCE,2,0,2,2,100,768.08,95,100
60374610002,1,4,1.1,NO3N,ALPHA; NO3N; PCATE; PCE,1,0,1,1,100,311,74,100
60374610003,1,4,1.1,NO3N,ALPHA; NO3N; PCATE; PCE,1,0,1,1,100,311,74,100
60374610004,5,6,2.36,CTCL; PCATE; NO3N; TCPR123; PCE,PCATE; CTCL; NO3N; ALPHA; TCE; PCE,3,0,3,3,100,823.58,96,100
60374611004,5,5,1.95,PCATE; CTCL; TCPR123; NO3N; PCE,PCATE; NO3N; ALPHA; TCE; PCE,1,0,1,1,100,769.5,95,100
60374612001,2,3,1.09,F; TCPR123,TCPR123; NO3N; PCATE,4,0,4,4,100,360.92,79,100
60374612002,2,3,1.12,F; TCPR123,TCPR123; NO3N; PCATE,2,0,2,2,100,361.2,80,100
60374612003,1,0,1.05,F,,1,0,1,2,50,55.25,23,50
60374613001,1,3,1.26,TCPR123,TCPR123; NO3N; PCATE,1,0,1,2,50,131.3,47,50
60374613002,2,3,1.12,F; TCPR123,TCPR123; NO3N; PCATE,2,0,2,2,100,361.2,80,100
60374613003,2,3,1.16,TCPR123; F,TCPR123; NO3N; PCATE,1,0,1,1,100,361.55,80,100
60374613004,2,3,1.12,F; TCPR123,TCPR123; NO3N; PCATE,2,0,2,2,100,361.2,80,100
60374613005,2,3,1.16,F; TCPR123,TCPR123; NO3N; PCATE,3,0,3,4,75,271.16,71,75
60374614001,2,3,1.19,TCPR123; F,TCPR123; NO3N; PCATE,2,0,2,2,100,361.9,80,100
60374614002,1,3,1.26,TCPR123,TCPR123; NO3N; PCATE,1,0,1,1,100,262.6,69,100
60374614003,1,3,1.26,TCPR123,TCPR123; NO3N; PCATE,1,0,1,1,100,262.6,69,100
60374615011,6,6,1.64,PCATE; CTCL; NO3N; TCPR123; TCE; PCE,PCATE; NO3N; TCPR123; ALPHA; TCE; PCE,3,0,3,4,75,687.28,94,75
60374615012,5,6,1.38,PCATE; NO3N; TCPR123; TCE; PCE,PCATE; NO3N; TCPR123; ALPHA; TCE; PCE,2,0,2,2,100,813.77,96,100
60374615013,5,6,1.38,PCATE; NO3N; TCPR123; TCE; PCE,PCATE; NO3N; TCPR123; ALPHA; TCE; PCE,2,0,2,2,100,813.77,96,100
60374615021,6,5,1.68,PCATE; CTCL; NO3N; TCPR123; TCE; PCE,PCATE; NO3N; ALPHA; TCE; PCE,2,0,2,2,100,866.75,97,100
60374615022,6,5,1.68,PCATE; CTCL; NO3N; TCPR123; TCE; PCE,PCATE; NO3N; ALPHA; TCE; PCE,2,0,2,2,100,866.75,97,100
60374615023,5,5,1.4,PCATE; NO3N; TCPR123; TCE; PCE,PCATE; NO3N; ALPHA; TCE; PCE,1,0,1,1,100,764.01,95,100
60374615024,5,5,1.4,PCATE; NO3N; TCPR123; TCE; PCE,PCATE; NO3N; ALPHA; TCE; PCE,1,0,1,1,100,764.01,95,100
60374616001,5,6,1.38,PCATE; TCE; TCPR123; NO3N; PCE,TCE; PCATE; NO3N; PB; ALPHA; PCE,4,0,4,4,100,813.79,96,100
60374616002,5,4,1.35,PCATE; TCE; TCPR123; NO3N; PCE,TCE; PCATE; NO3N; PCE,2,0,2,2,100,713.52,94,100
60374616003,5,5,1.37,PCATE; TCE; NO3N; TCPR123; PCE,TCE; NO3N; PB; PCATE; PCE,2,0,2,2,100,763.72,95,100
60374616004,5,5,1.37,PCATE; TCE; TCPR123; NO3N; PCE,TCE; PCATE; NO3N; PB; PCE,3,0,3,3,100,763.7,95,100
60374617001,5,5,1.36,PCATE; TCE; TCPR123; NO3N; PCE,TCE; PCATE; NO3N; ALPHA; PCE,3,0,3,3,100,763.58,95,100
60374617002,4,2,1.32,PCATE; TCE; NO3N; TCPR123,TCE; NO3N,2,0,2,2,100,513.21,88,100
60374619011,5,5,1.39,NO3N; PCATE; TCPR123; TCE; PCE,PB; NO3N; PCATE; TCE; PCE,1,0,1,1,100,763.94,95,100
60374619012,5,5,1.37,PCATE; TCE; NO3N; TCPR123; PCE,TCE; NO3N; PB; PCATE; PCE,2,0,2,2,100,763.72,95,100
60374619013,5,5,1.39,NO3N; PCATE; TCPR123; TCE; PCE,PB; NO3N; PCATE; TCE; PCE,1,0,1,1,100,763.94,95,100
60374619021,5,5,1.35,PCATE; NO3N; TCE; TCPR123; PCE,PB; NO3N; TCE; PCATE; PCE,2,0,2,2,100,763.51,95,100
60374619022,5,5,1.34,PCATE; TCE; NO3N; TCPR123; PCE,TCE; NO3N; PB; PCATE; PCE,4,0,4,4,100,763.37,95,100
60374620011,5,6,1.4,PCATE; NO3N; TCPR123; TCE; PCE,PCATE; PB; NO3N; ALPHA; TCE; PCE,2,0,2,2,100,813.97,96,100
60374620012,5,5,1.39,NO3N; PCATE; TCPR123; TCE; PCE,PB; NO3N; PCATE; TCE; PCE,1,0,1,1,100,763.94,95,100
60374620021,5,6,1.4,PCATE; NO3N; TCPR123; TCE; PCE,PCATE; PB; NO3N; ALPHA; TCE; PCE,2,0,2,2,100,813.97,96,100
60374620022,5,5,1.39,NO3N; PCATE; TCPR123; TCE; PCE,PB; NO3N; PCATE; TCE; PCE,1,0,1,1,100,763.94,95,100
60374620023,5,5,1.4,PCATE; NO3N; TCPR123; TCE; PCE,PCATE; NO3N; ALPHA; TCE; PCE,1,0,1,1,100,764.01,95,100
60374621001,5,7,1.37,PCATE; NO3N; TCPR123; TCE; PCE,PCATE; PB; NO3N; TCPR123; ALPHA; TCE; PCE,4,0,4,4,100,863.74,96,100
60374621002,5,6,1.37,NO3N; TCPR123; PCATE; TCE; PCE,PB; NO3N; TCPR123; PCATE; TCE; PCE,2,0,2,2,100,813.71,96,100
60374621003,5,6,1.4,PCATE; NO3N; TCPR123; TCE; PCE,PCATE; PB; NO3N; ALPHA; TCE; PCE,2,0,2,2,100,813.97,96,100
60374622011,5,6,1.37,NO3N; TCPR123; PCATE; TCE; PCE,PB; NO3N; TCPR123; PCATE; TCE; PCE,2,0,2,2,100,813.71,96,100
60374622012,5,5,1.39,NO3N; PCATE; TCPR123; TCE; PCE,PB; NO3N; PCATE; TCE; PCE,1,0,1,1,100,763.94,95,100
60374622013,5,5,1.39,NO3N; PCATE; TCPR123; TCE; PCE,PB; NO3N; PCATE; TCE; PCE,1,0,1,1,100,763.94,95,100
60374622021,5,7,1.36,PCATE; NO3N; TCE; TCPR123; PCE,PB; NO3N; TCE; TCPR123; CR6; PCATE; PCE,4,0,4,4,100,863.57,96,100
60374622022,5,5,1.35,PCATE; NO3N; TCE; TCPR123; PCE,PB; NO3N; TCE; PCATE; PCE,2,0,2,2,100,763.51,95,100
60374623011,1,3,1.26,TCPR123,NO3N; TCPR123; PCATE,1,0,1,1,100,262.6,69,100
60374623012,1,3,1.26,TCPR123,NO3N; TCPR123; PCATE,1,0,1,1,100,262.6,69,100
60374623013,1,3,1.26,TCPR123,NO3N; TCPR123; PCATE,1,0,1,1,100,262.6,69,100
60374623014,1,3,1.26,TCPR123,NO3N; TCPR123; PCATE,1,0,1,1,100,262.6,69,100
