"GEOID","CRF1","CRF2","CRF3","CL1","CL2","highsec","medsec","datasec","areasec","CRF4","wq_score","datacov","wq_risk","ex_risk","Pop18","adj_dw","statesmallcount","dwss_cou","dwss_den","DAC_status","prio1","comb_risk"
60830012063,2,1,4.33,"CN; NO3N","NO3N",1,0,1,1,100,293.35,100,73,49,1483,0.43,0,0.43,3.879,"DAC",122,87
60830012081,2,1,4.33,"CN; NO3N","NO3N",3,0,3,3,100,293.35,100,73,41,1573,0.43,0,0.43,2.946,"DAC",114,84
60830013041,2,1,1.43,"CN; NO3N","NO3N",1,0,2,2,50,132.13,100,48,65,1187,0.86,0,0.86,7.128,"None",113,84
60830014021,1,1,1.94,"NO3N","NO3N",1,0,7,7,14.29,24.2,100,11,92,1015,39.78,0,39.78,35.563,"None",103,80
60830014024,1,1,1.94,"NO3N","NO3N",2,0,4,4,50,84.7,100,33,93,591,24.21,0,24.21,38.412,"None",126,88
60830015001,2,1,1.69,"F; NO3N","NO3N",3,0,11,18,16.67,44.48,61.11,20,67,983,112.42,0,112.42,7.741,"None",87,66
60830015002,1,1,1.94,"NO3N","NO3N",5,0,7,7,71.43,121,100,44,94,886,92.96,0,92.96,41.108,"None",138,92
60830015003,1,1,1.94,"NO3N","NO3N",1,0,4,4,25,42.35,100,19,96,755,84.75,1,85.75,56.311,"None",115,85
60830016011,1,1,2.57,"NO3N","NO3N",3,0,4,4,75,131.81,100,48,79,1355,8.65,0,8.65,13.248,"None",127,89
60830016012,1,1,3.13,"NO3N","NO3N",1,0,2,2,50,90.67,100,34,73,2596,6.49,0,6.49,10.155,"None",107,82
60830016013,1,1,2.28,"NO3N","NO3N",2,2,5,5,60,103.69,100,36,77,1792,13.4,0,13.4,12.066,"None",113,84
60830017041,0,1,0,"","NO3N",0,6,8,8,37.5,18.75,100,10,45,1982,10.81,1,11.81,3.424,"None",55,39
60830017061,2,1,1.74,"NO3N; F","NO3N",16,3,34,63,27.78,74.29,53.97,29,17,1441,70.05,0,70.05,1.098,"None",46,32
60830017062,1,1,2.04,"NO3N","NO3N",4,0,6,6,66.67,113.61,100,41,59,909,11.67,0,11.67,5.584,"None",100,79
60830017063,2,0,1.56,"F; NO3N","",3,0,3,3,100,215.62,100,64,91,829,23.78,0,23.78,31.616,"Data Not Available",155,96
60830017064,2,1,1.77,"NO3N; F","NO3N",8,0,8,8,100,267.72,100,71,84,494,47.13,0,47.13,18.804,"None",155,96
60830017065,1,1,1.94,"NO3N","NO3N",4,0,4,4,100,169.4,100,57,90,429,12.11,0,12.11,28.53,"Data Not Available",147,94
